Sampler,Classifier,type,Total300,Diabetes200
TomekLinks,LGBMClassifier,all,109.852,11.307
TomekLinks,GradientBoostingClassifier,all,111.113,12.705
TomekLinks,AdaBoostClassifier,all,112.107,14.103
TomekLinks,LogisticRegression,all,110.422,12.283
TomekLinks,RidgeClassifier,all,100.808,0.904
TomekLinks,QuadraticDiscriminantAnalysis,all,100.000,0.000
TomekLinks,DummyClassifier,all,100.000,0.000
TomekLinks,SGDClassifier,all,100.000,0.000
TomekLinks,LinearDiscriminantAnalysis,all,113.627,16.225
TomekLinks,RandomForestClassifier,all,111.796,15.397
TomekLinks,KNeighborsClassifier,all,112.120,15.986
TomekLinks,ExtraTreesClassifier,all,111.944,16.183
TomekLinks,DecisionTreeClassifier,all,117.975,29.949
TomekLinks,GaussianNB,all,135.438,51.189
SMOTE,ExtraTreesClassifier,all,119.503,27.078
SMOTE,RandomForestClassifier,all,119.470,26.481
SMOTE,DecisionTreeClassifier,all,119.515,34.080
SMOTE,KNeighborsClassifier,all,133.997,69.761
SMOTE,LGBMClassifier,all,126.280,32.739
SMOTE,GradientBoostingClassifier,all,143.294,60.205
SMOTE,AdaBoostClassifier,all,146.407,69.632
SMOTE,LogisticRegression,all,155.449,91.614
SMOTE,LinearDiscriminantAnalysis,all,154.212,92.069
SMOTE,RidgeClassifier,all,153.040,85.675
SMOTE,GaussianNB,all,150.418,91.936
SMOTE,SGDClassifier,all,149.297,73.918
SMOTE,QuadraticDiscriminantAnalysis,all,100.000,0.000
SMOTE,DummyClassifier,all,100.000,0.000
RandomOverSampler,ExtraTreesClassifier,all,120.842,32.939
RandomOverSampler,RandomForestClassifier,all,130.257,46.356
RandomOverSampler,DecisionTreeClassifier,all,121.653,42.809
RandomOverSampler,KNeighborsClassifier,all,134.672,70.946
RandomOverSampler,LGBMClassifier,all,156.799,94.474
RandomOverSampler,GradientBoostingClassifier,all,157.825,95.541
RandomOverSampler,AdaBoostClassifier,all,156.259,92.057
RandomOverSampler,LogisticRegression,all,155.351,90.884
RandomOverSampler,LinearDiscriminantAnalysis,all,154.363,91.478
RandomOverSampler,RidgeClassifier,all,152.595,84.325
RandomOverSampler,SGDClassifier,all,151.578,84.476
RandomOverSampler,GaussianNB,all,147.883,78.507
RandomOverSampler,QuadraticDiscriminantAnalysis,all,100.000,0.000
RandomOverSampler,DummyClassifier,all,100.000,0.000
NearMiss,LGBMClassifier,all,107.868,96.693
NearMiss,ExtraTreesClassifier,all,103.376,95.590
NearMiss,RandomForestClassifier,all,104.406,95.723
NearMiss,GradientBoostingClassifier,all,111.298,94.143
NearMiss,AdaBoostClassifier,all,110.956,94.993
NearMiss,LogisticRegression,all,113.049,92.922
NearMiss,DecisionTreeClassifier,all,104.450,92.025
NearMiss,LinearDiscriminantAnalysis,all,118.792,89.225
NearMiss,RidgeClassifier,all,119.180,88.446
NearMiss,KNeighborsClassifier,all,113.472,85.859
NearMiss,SGDClassifier,all,108.533,88.500
NearMiss,GaussianNB,all,113.814,80.816
NearMiss,QuadraticDiscriminantAnalysis,all,100.000,0.000
NearMiss,DummyClassifier,all,100.000,0.000
RandomOverSampler,ExtraTreesClassifier,auto,120.842,32.939
RandomOverSampler,RandomForestClassifier,auto,130.257,46.356
RandomOverSampler,DecisionTreeClassifier,auto,121.653,42.809
RandomOverSampler,KNeighborsClassifier,auto,134.672,70.946
RandomOverSampler,LGBMClassifier,auto,156.799,94.474
RandomOverSampler,GradientBoostingClassifier,auto,157.825,95.541
RandomOverSampler,AdaBoostClassifier,auto,156.259,92.057
RandomOverSampler,LogisticRegression,auto,155.351,90.884
RandomOverSampler,LinearDiscriminantAnalysis,auto,154.363,91.478
RandomOverSampler,RidgeClassifier,auto,152.595,84.325
RandomOverSampler,SGDClassifier,auto,151.578,84.476
RandomOverSampler,GaussianNB,auto,147.883,78.507
RandomOverSampler,QuadraticDiscriminantAnalysis,auto,100.000,0.000
RandomOverSampler,DummyClassifier,auto,100.000,0.000
AllKNN,RandomForestClassifier,auto,102.73105732810244,3.830476206695178
AllKNN,ExtraTreesClassifier,auto,102.42930781476834,3.7702061970519765
AllKNN,KNeighborsClassifier,auto,102.79987575252191,3.642109143443865
AllKNN,GradientBoostingClassifier,auto,102.77590582407268,3.0978784956605594
AllKNN,LGBMClassifier,auto,103.79888540311583,4.256322186530313
AllKNN,AdaBoostClassifier,auto,102.95808842272088,3.3389585342333654
AllKNN,RidgeClassifier,auto,100.0,0.0
AllKNN,QuadraticDiscriminantAnalysis,auto,100.0,0.0
AllKNN,DummyClassifier,auto,100.0,0.0
AllKNN,LogisticRegression,auto,101.75010454036509,1.9660618200886548
AllKNN,SGDClassifier,auto,100.09474328137536,0.10848601735776277
AllKNN,LinearDiscriminantAnalysis,auto,111.2661147257761,13.319672131147541
AllKNN,DecisionTreeClassifier,auto,110.31092974161871,17.19604046880577
AllKNN,GaussianNB,auto,132.41211590536,46.65548012712848
AllKNN,RandomForestClassifier,auto,102.73105732810244,3.830476206695178
AllKNN,ExtraTreesClassifier,auto,102.42930781476834,3.7702061970519765
AllKNN,KNeighborsClassifier,auto,102.79987575252191,3.642109143443865
AllKNN,GradientBoostingClassifier,auto,102.77590582407268,3.0978784956605594
AllKNN,LGBMClassifier,auto,103.79888540311583,4.256322186530313
AllKNN,AdaBoostClassifier,auto,102.95808842272088,3.3389585342333654
AllKNN,RidgeClassifier,auto,100.0,0.0
AllKNN,QuadraticDiscriminantAnalysis,auto,100.0,0.0
AllKNN,DummyClassifier,auto,100.0,0.0
AllKNN,LogisticRegression,auto,101.75010454036509,1.9660618200886548
AllKNN,SGDClassifier,auto,100.09474328137536,0.10848601735776277
AllKNN,LinearDiscriminantAnalysis,auto,111.2661147257761,13.319672131147541
AllKNN,DecisionTreeClassifier,auto,110.31092974161871,17.19604046880577
AllKNN,GaussianNB,auto,132.41211590536,46.65548012712848
ADASYN,ExtraTreesClassifier,auto,118.23928912629312,25.78405118063583
ADASYN,RandomForestClassifier,auto,118.3693811748641,25.311426093978284
ADASYN,DecisionTreeClassifier,auto,119.26898880194202,33.63211115155721
ADASYN,KNeighborsClassifier,auto,132.68336694531905,69.70040793793724
ADASYN,LGBMClassifier,auto,123.20348419912885,28.700578592092572
ADASYN,GradientBoostingClassifier,auto,143.2988719950276,60.50281419700656
ADASYN,AdaBoostClassifier,auto,145.78613072514108,68.32029124029737
ADASYN,LogisticRegression,auto,153.81145063441457,90.14528132390727
ADASYN,LinearDiscriminantAnalysis,auto,154.12691534526903,92.01563844877147
ADASYN,RidgeClassifier,auto,153.31122394979778,86.43318091540166
ADASYN,GaussianNB,auto,150.96207517200153,92.6791318706037
ADASYN,SGDClassifier,auto,148.08539275562035,77.71473153369479
ADASYN,QuadraticDiscriminantAnalysis,auto,100.0,0.0
ADASYN,DummyClassifier,auto,100.0,0.0