None,Pre,Diab,Classifier,Sampler,Mode,Total,Diab2
92.4689806816397,1.030169242089772,25.241080038572804,ExtraTreesClassifier,ADASYN,auto,118.7402299623023,26.27124928066258
93.00102088895869,0.5886681383370125,24.65043394406943,RandomForestClassifier,ADASYN,auto,118.24012297136515,25.239102082406443
85.67614261033454,3.8263428991905815,29.050144648023146,DecisionTreeClassifier,ADASYN,auto,118.55263015754826,32.87648754721373
62.91031883147479,17.51287711552612,52.09739633558341,KNeighborsClassifier,ADASYN,auto,132.52059228258432,69.61027345110952
94.64229621485785,0.0,28.2907425265188,LGBMClassifier,ADASYN,auto,122.93303874137666,28.2907425265188
82.94919114182504,0.22075055187637968,59.72757955641272,GradientBoostingClassifier,ADASYN,auto,142.89752125011415,59.948330108289106
74.79974870425632,5.518763796909492,66.04387656702025,AdaBoostClassifier,ADASYN,auto,146.36238906818605,71.56264036392975
63.642610334537466,32.00883002207506,58.20877531340405,LogisticRegression,ADASYN,auto,153.86021567001657,90.2176053354791
62.11716664049003,36.12950699043414,55.81002892960463,LinearDiscriminantAnalysis,ADASYN,auto,154.05670256052878,91.93953592003876
66.86233705041622,27.740986019131714,58.57039537126326,RidgeClassifier,ADASYN,auto,153.1737184408112,86.31138139039498
58.44392963719177,26.122148638704928,66.18852459016394,GaussianNB,ADASYN,auto,150.75460286606065,92.31067322886885
66.73276268258206,19.793966151582048,64.99517839922855,SGDClassifier,ADASYN,auto,151.52190723339265,84.78914455081059
100.0,0.0,0.0,QuadraticDiscriminantAnalysis,ADASYN,auto,100.0,0.0
100.0,0.0,0.0,DummyClassifier,ADASYN,auto,100.0,0.0
11.174807601696246,76.52685798381162,20.16634522661524,LGBMClassifier,NearMiss,all,107.86801081212312,96.69320321042686
7.788204806031097,71.22884473877852,24.361137897782065,ExtraTreesClassifier,NearMiss,all,103.37818744259168,95.58998263656058
8.683445892885189,71.22884473877852,24.493731918997106,RandomForestClassifier,NearMiss,all,104.40602255066081,95.72257665777563
17.154861002041777,74.02501839587933,20.118129218900673,GradientBoostingClassifier,NearMiss,all,111.29800861682178,94.14314761477999
15.963169467567143,73.65710080941868,21.335583413693346,AdaBoostClassifier,NearMiss,all,110.95585369067918,94.99268422311204
20.137034710224597,71.00809418690214,21.96239151398264,LogisticRegression,NearMiss,all,113.10752041110939,92.97048570088478
12.425396576095492,65.04782928623987,26.97685631629701,DecisionTreeClassifier,NearMiss,all,104.45008217863239,92.02468560253689
29.566514842154863,62.76674025018396,26.458534233365476,LinearDiscriminantAnalysis,NearMiss,all,118.79178932570431,89.22527448354944
30.734647400659654,67.91758646063282,20.527965284474444,RidgeClassifier,NearMiss,all,119.18019914576692,88.44555174510727
27.613083084655255,54.81972038263429,31.0390549662488,KNeighborsClassifier,NearMiss,all,113.47185843353833,85.85877534888309
20.03298256635778,82.33995584988962,6.159594985535198,SGDClassifier,NearMiss,all,108.53253340178262,88.49955083542483
32.99827234176222,46.799116997792495,34.01639344262295,GaussianNB,NearMiss,all,113.81378278217767,80.81551044041544
100.0,0.0,0.0,QuadraticDiscriminantAnalysis,NearMiss,all,100.0,0.0
100.0,0.0,0.0,DummyClassifier,NearMiss,all,100.0,0.0
11.174807601696246,76.52685798381162,20.16634522661524,LGBMClassifier,NearMiss,all,107.86801081212312,96.69320321042686
7.788204806031097,71.22884473877852,24.361137897782065,ExtraTreesClassifier,NearMiss,all,103.37818744259168,95.58998263656058
8.683445892885189,71.22884473877852,24.493731918997106,RandomForestClassifier,NearMiss,all,104.40602255066081,95.72257665777563
17.154861002041777,74.02501839587933,20.118129218900673,GradientBoostingClassifier,NearMiss,all,111.29800861682178,94.14314761477999
15.963169467567143,73.65710080941868,21.335583413693346,AdaBoostClassifier,NearMiss,all,110.95585369067918,94.99268422311204
20.137034710224597,71.00809418690214,21.96239151398264,LogisticRegression,NearMiss,all,113.10752041110939,92.97048570088478
12.425396576095492,65.04782928623987,26.97685631629701,DecisionTreeClassifier,NearMiss,all,104.45008217863239,92.02468560253689
29.566514842154863,62.76674025018396,26.458534233365476,LinearDiscriminantAnalysis,NearMiss,all,118.79178932570431,89.22527448354944
30.734647400659654,67.91758646063282,20.527965284474444,RidgeClassifier,NearMiss,all,119.18019914576692,88.44555174510727
27.613083084655255,54.81972038263429,31.0390549662488,KNeighborsClassifier,NearMiss,all,113.47185843353833,85.85877534888309
20.03298256635778,82.33995584988962,6.159594985535198,SGDClassifier,NearMiss,all,108.53253340178262,88.49955083542483
32.99827234176222,46.799116997792495,34.01639344262295,GaussianNB,NearMiss,all,113.81378278217767,80.81551044041544
100.0,0.0,0.0,QuadraticDiscriminantAnalysis,NearMiss,all,100.0,0.0
100.0,0.0,0.0,DummyClassifier,NearMiss,all,100.0,0.0
87.90246583948485,2.57542310522443,30.364030858244938,ExtraTreesClassifier,RandomOverSampler,auto,120.84191980295422,32.93945396346937
83.90136642060625,2.57542310522443,43.7801350048216,RandomForestClassifier,RandomOverSampler,auto,130.25692453065227,46.35555811004603
78.84403957907963,7.358351729212656,35.450819672131146,DecisionTreeClassifier,RandomOverSampler,auto,121.65321098042344,42.809171401343804
63.725066750431914,16.703458425312732,54.24300867888139,KNeighborsClassifier,RandomOverSampler,auto,134.67153385462603,70.94646710419413
62.32527092822365,28.550404709345106,65.92333654773384,LGBMClassifier,RandomOverSampler,auto,156.7990121853026,94.47374125707894
62.284042720276425,32.450331125827816,63.09064609450338,GradientBoostingClassifier,RandomOverSampler,auto,157.82501994060763,95.54097722033119
64.20213601382126,31.714495952906546,60.342333654773384,AdaBoostClassifier,RandomOverSampler,auto,156.2589656215012,92.05682960767993
64.4691377414795,31.42016188373804,59.36595949855352,LogisticRegression,RandomOverSampler,auto,155.25525912377108,90.78612138229157
62.88479660750747,35.246504782928625,56.231918997107044,LinearDiscriminantAnalysis,RandomOverSampler,auto,154.36322038754312,91.47842378003567
68.26998586461441,22.958057395143488,61.36692381870781,RidgeClassifier,RandomOverSampler,auto,152.59496707846571,84.3249812138513
67.10185330610963,9.271523178807946,75.20491803278688,SGDClassifier,RandomOverSampler,auto,151.57829451770445,84.47644121159483
69.37529448719962,17.58646063281825,60.92092574734812,GaussianNB,RandomOverSampler,auto,147.882680867366,78.50738638016637
100.0,0.0,0.0,QuadraticDiscriminantAnalysis,RandomOverSampler,auto,100.0,0.0
100.0,0.0,0.0,DummyClassifier,RandomOverSampler,auto,100.0,0.0
92.42578922569498,0.9565857247976454,26.12102217936355,ExtraTreesClassifier,SMOTE,all,119.50339712985618,27.077607904161194
92.98924140097377,0.5886681383370125,25.891996142719382,RandomForestClassifier,SMOTE,all,119.46990568203016,26.48066428105639
85.43466310664363,4.415011037527594,29.6648987463838,DecisionTreeClassifier,SMOTE,all,119.51457289055503,34.0799097839114
64.23551122977854,17.880794701986755,51.88042430086789,KNeighborsClassifier,SMOTE,all,133.99673023263318,69.76121900285465
93.54091408826764,0.0,32.73866923818708,LGBMClassifier,SMOTE,all,126.27958332645473,32.73866923818708
83.08858174964662,0.44150110375275936,59.763741562198646,GradientBoostingClassifier,SMOTE,all,143.29382441559804,60.20524266595141
76.77477618972829,3.3112582781456954,66.32111861137898,AdaBoostClassifier,SMOTE,all,146.40715307925296,69.63237688952468
63.8330453902937,33.99558498896248,57.58196721311475,LogisticRegression,SMOTE,all,155.41059759237092,91.57755220207721
62.14268886445736,37.38042678440029,54.68900675024108,LinearDiscriminantAnalysis,SMOTE,all,154.21212239909875,92.06943353464136
67.3649285377729,26.490066225165563,59.18514946962391,RidgeClassifier,SMOTE,all,153.04014423256237,85.67521569478947
58.481231349144025,30.31640912435614,61.620057859209254,GaussianNB,SMOTE,all,150.41769833270942,91.9364669835654
75.378906863515,17.071376011773364,56.84667309546769,SGDClassifier,SMOTE,all,149.29695597075604,73.91804910724106
100.0,0.0,0.0,QuadraticDiscriminantAnalysis,SMOTE,all,100.0,0.0
100.0,0.0,0.0,DummyClassifier,SMOTE,all,100.0,0.0
98.5452332338621,0.0,11.30665380906461,LGBMClassifier,TomekLinks,all,109.85188704292672,11.30665380906461
98.40780587403802,0.0,12.704918032786885,GradientBoostingClassifier,TomekLinks,all,111.1127239068249,12.704918032786885
98.00337678655568,0.0,14.103182256509161,AdaBoostClassifier,TomekLinks,all,112.10655904306483,14.103182256509161
98.14080414637976,0.0,12.270973963355834,LogisticRegression,TomekLinks,all,110.4117781097356,12.270973963355834
99.90380084812314,0.0,0.904050144648023,RidgeClassifier,TomekLinks,all,100.80785099277117,0.904050144648023
100.0,0.0,0.0,QuadraticDiscriminantAnalysis,TomekLinks,all,100.0,0.0
100.0,0.0,0.0,DummyClassifier,TomekLinks,all,100.0,0.0
100.0,0.0,0.0,SGDClassifier,TomekLinks,all,100.0,0.0
97.40262289932464,0.0,16.224686595949855,LinearDiscriminantAnalysis,TomekLinks,all,113.62730949527449,16.224686595949855
96.39940317260877,0.22075055187637968,15.17598842815815,RandomForestClassifier,TomekLinks,all,111.79614215264331,15.396738980034531
96.13436469294801,0.14716703458425312,15.838958534233367,KNeighborsClassifier,TomekLinks,all,112.12049026176562,15.986125568817618
95.76134757342547,0.36791758646063283,15.814850530376084,ExtraTreesClassifier,TomekLinks,all,111.9441156902622,16.18276811683672
88.02615046332653,3.237674760853569,26.711668273866923,DecisionTreeClassifier,TomekLinks,all,117.97549349804702,29.949343034720492
84.24886131616147,1.177336276674025,50.01205400192864,GaussianNB,TomekLinks,all,135.43825159476413,51.189390278602666
98.39995288204805,0.0,12.258919961427193,LGBMClassifier,Base,None,110.65887284347524,12.258919961427193
98.08190670645516,0.0,14.163452266152362,GradientBoostingClassifier,Base,None,112.24535897260752,14.163452266152362
97.80116224281451,0.0,15.537608486017357,AdaBoostClassifier,Base,None,113.33877072883188,15.537608486017357
97.88950840270144,0.0,13.729508196721312,LogisticRegression,Base,None,111.61901659942275,13.729508196721312
99.79582220826134,0.0,1.95274831243973,RidgeClassifier,Base,None,101.74857052070108,1.95274831243973
100.0,0.0,0.0,QuadraticDiscriminantAnalysis,Base,None,100.0,0.0
100.0,0.0,0.0,DummyClassifier,Base,None,100.0,0.0
100.0,0.0,0.0,SGDClassifier,Base,None,100.0,0.0
97.25930579550808,0.0,17.044358727097396,LinearDiscriminantAnalysis,Base,None,114.30366452260547,17.044358727097396
95.9400031411968,0.14716703458425312,16.36933461909354,RandomForestClassifier,Base,None,112.45650479487459,16.516501653677793
95.61410397361395,0.36791758646063283,17.369816779170684,KNeighborsClassifier,Base,None,113.35183833924528,17.73773436563132
95.16255693419193,0.14716703458425312,17.514464802314368,ExtraTreesClassifier,Base,None,112.82418877109055,17.66163183689862
84.00149206847809,2.7225901398086827,48.98746383799421,GaussianNB,Base,None,135.711546046281,51.71005397780289
86.86783414480918,3.7527593818984544,27.603664416586305,DecisionTreeClassifier,Base,None,118.22425794329394,31.356423798484755