None,Diab,Classifier,Sampler,Mode,Total,Diab2
92.3061821465732,25.605966438781852,ExtraTreesClassifier,ADASYN,auto,117.91214858535506,25.605966438781852
92.76557315900034,24.487259167184586,RandomForestClassifier,ADASYN,auto,117.25283232618493,24.487259167184586
95.32756149753617,23.45141910089082,LGBMClassifier,ADASYN,auto,118.778980598427,23.45141910089082
85.90611932387067,31.95566604516263,DecisionTreeClassifier,ADASYN,auto,117.86178536903329,31.95566604516263
84.61825392151088,53.42863061943236,GradientBoostingClassifier,ADASYN,auto,138.04688454094324,53.42863061943236
68.00950193376131,63.807748083695884,KNeighborsClassifier,ADASYN,auto,131.8172500174572,63.807748083695884
77.74113120128786,64.51211932877564,AdaBoostClassifier,ADASYN,auto,142.2532505300635,64.51211932877564
67.93489997447828,78.56846902838201,RidgeClassifier,ADASYN,auto,146.5033690028603,78.56846902838201
67.93489997447828,78.56846902838201,LinearDiscriminantAnalysis,ADASYN,auto,146.5033690028603,78.56846902838201
69.00877554626304,77.46012015744769,LogisticRegression,ADASYN,auto,146.4688957037107,77.46012015744769
75.457918605336,68.93515641185,SGDClassifier,ADASYN,auto,144.39307501718602,68.93515641185
65.53782123014705,77.8744561839652,GaussianNB,ADASYN,auto,143.41227741411222,77.8744561839652
100.0,0.0,QuadraticDiscriminantAnalysis,ADASYN,auto,100.0,0.0
100.0,0.0,DummyClassifier,ADASYN,auto,100.0,0.0
88.37976323693975,32.17319245908431,ExtraTreesClassifier,RandomOverSampler,auto,120.55295569602407,32.17319245908431
84.15297328071932,44.98653407913818,RandomForestClassifier,RandomOverSampler,auto,129.1395073598575,44.98653407913818
80.83318609262422,39.030453697949035,DecisionTreeClassifier,RandomOverSampler,auto,119.86363979057326,39.030453697949035
68.9695113571667,64.78143774601202,KNeighborsClassifier,RandomOverSampler,auto,133.7509491031787,64.78143774601202
69.3346683157626,78.8688626476072,LGBMClassifier,RandomOverSampler,auto,148.20353096336981,78.8688626476072
69.83528672674088,78.3716594157862,GradientBoostingClassifier,RandomOverSampler,auto,148.20694614252707,78.3716594157862
71.26646641930228,76.29997928319867,AdaBoostClassifier,RandomOverSampler,auto,147.56644570250094,76.29997928319867
70.25737675952647,76.52786409778331,RidgeClassifier,RandomOverSampler,auto,146.78524085730976,76.52786409778331
70.25737675952647,76.52786409778331,LinearDiscriminantAnalysis,RandomOverSampler,auto,146.78524085730976,76.52786409778331
71.09174077782359,75.75098404806297,LogisticRegression,RandomOverSampler,auto,146.84272482588656,75.75098404806297
75.45202897697155,69.68096125958152,SGDClassifier,RandomOverSampler,auto,145.13299023655307,69.68096125958152
74.72171505977973,66.03480422622748,GaussianNB,RandomOverSampler,auto,140.75651928600718,66.03480422622748
100.0,0.0,QuadraticDiscriminantAnalysis,RandomOverSampler,auto,100.0,0.0
0.0,100.0,DummyClassifier,RandomOverSampler,auto,100.0,100.0
92.19035278873903,26.217112077895173,ExtraTreesClassifier,SMOTE,all,118.4074648666342,26.217112077895173
92.7145297131751,25.38844002486016,RandomForestClassifier,SMOTE,all,118.10296973803527,25.38844002486016
94.50497673596796,26.413921690490987,LGBMClassifier,SMOTE,all,120.91889842645895,26.413921690490987
85.77458429039794,31.997099647814377,DecisionTreeClassifier,SMOTE,all,117.7716839382123,31.997099647814377
84.10192983489408,55.12740832815414,GradientBoostingClassifier,SMOTE,all,139.22933816304823,55.12740832815414
70.24167108388794,62.48187279883985,KNeighborsClassifier,SMOTE,all,132.7235438827278,62.48187279883985
78.63046508431985,63.90097368966232,AdaBoostClassifier,SMOTE,all,142.5314387739822,63.90097368966232
69.71749415945187,76.9939921276155,RidgeClassifier,SMOTE,all,146.71148628706737,76.9939921276155
69.71749415945187,76.9939921276155,LinearDiscriminantAnalysis,SMOTE,all,146.71148628706737,76.9939921276155
71.03677091308872,75.69919204474829,LogisticRegression,SMOTE,all,146.735962957837,75.69919204474829
73.65176590690461,71.45224777294385,SGDClassifier,SMOTE,all,145.10401367984846,71.45224777294385
68.24508706833932,75.07768800497203,GaussianNB,SMOTE,all,143.32277507331133,75.07768800497203
100.0,0.0,QuadraticDiscriminantAnalysis,SMOTE,all,100.0,0.0
0.0,100.0,DummyClassifier,SMOTE,all,100.0,100.0
97.93666686298761,13.963124093639943,LGBMClassifier,TomekLinks,all,111.89979095662754,13.963124093639943
97.81691108624379,14.605344934742076,GradientBoostingClassifier,TomekLinks,all,112.42225602098588,14.605344934742076
97.57347311384652,15.092189765900146,AdaBoostClassifier,TomekLinks,all,112.66566287974666,15.092189765900146
97.71482419459332,13.414128858504245,LogisticRegression,TomekLinks,all,111.12895305309756,13.414128858504245
99.79189979778943,1.823078516677025,RidgeClassifier,TomekLinks,all,101.61497831446647,1.823078516677025
97.01788483813338,15.910503418272217,LinearDiscriminantAnalysis,TomekLinks,all,112.92838825640561,15.910503418272217
100.0,0.0,QuadraticDiscriminantAnalysis,TomekLinks,all,100.0,0.0
100.0,0.0,DummyClassifier,TomekLinks,all,100.0,0.0
100.0,0.0,SGDClassifier,TomekLinks,all,100.0,0.0
95.6711231521291,17.184586699813547,RandomForestClassifier,TomekLinks,all,112.85570985194265,17.184586699813547
95.1096452480515,18.489745183343693,ExtraTreesClassifier,TomekLinks,all,113.5993904313952,18.489745183343693
94.7091505192689,19.81562046819971,KNeighborsClassifier,TomekLinks,all,114.5247709874686,19.81562046819971
88.19522154818698,29.11746426351771,DecisionTreeClassifier,TomekLinks,all,117.31268581170468,29.11746426351771
84.09996662543927,48.746633519784545,GaussianNB,TomekLinks,all,132.84660014522382,48.746633519784545
97.75212517423483,14.605344934742076,GradientBoostingClassifier,Base,None,112.35747010897693,14.605344934742076
97.98574709935804,13.714522477729437,LGBMClassifier,Base,None,111.70026957708747,13.714522477729437
97.33199835090406,16.4284234514191,AdaBoostClassifier,Base,None,113.76042180232315,16.4284234514191
99.57987317666922,3.1489538015330436,RidgeClassifier,Base,None,102.72882697820226,3.1489538015330436
97.54402497202427,14.23244251087632,LogisticRegression,Base,None,111.77646748290057,14.23244251087632
96.86279129120285,16.65630826600373,LinearDiscriminantAnalysis,Base,None,113.51909955720659,16.65630826600373
100.0,0.0,QuadraticDiscriminantAnalysis,Base,None,100.0,0.0
100.0,0.0,DummyClassifier,Base,None,100.0,0.0
100.0,0.0,SGDClassifier,Base,None,100.0,0.0
95.36878889608732,17.83716594157862,RandomForestClassifier,Base,None,113.20595483766593,17.83716594157862
94.72485619490743,18.645121193287757,ExtraTreesClassifier,Base,None,113.36997738819518,18.645121193287757
94.23798025011288,19.618810855603893,KNeighborsClassifier,Base,None,113.85679110571678,19.618810855603893
84.14904686180968,47.866169463434844,GaussianNB,Base,None,132.01521632524452,47.866169463434844
86.83471739599898,30.909467578205923,DecisionTreeClassifier,Base,None,117.74418497420491,30.909467578205923